budget,job_acc,projects,seed
40,44694200,"[76, 79, 147, 161, 227, 333, 334, 377, 414, 724, 785, 837, 901, 1073, 1162, 1242, 1247, 1279]",38
80,74154705,"[58, 71, 76, 79, 118, 149, 155, 211, 212, 227, 353, 355, 599, 901, 925, 979, 993, 994, 1014, 1034, 1043, 1044, 1091, 1158, 1164, 1177, 1178, 1236, 1239, 1247, 1251, 1264]",31
120,96070225,"[12, 13, 58, 71, 76, 79, 147, 148, 149, 155, 161, 211, 212, 227, 353, 355, 599, 901, 925, 942, 979, 993, 994, 996, 997, 1014, 1024, 1034, 1043, 1044, 1091, 1103, 1158, 1164, 1177, 1178, 1217, 1228, 1236, 1239, 1242, 1243, 1247, 1251, 1264, 1285]",31
160,116553295,"[58, 71, 76, 79, 118, 147, 148, 149, 155, 161, 211, 212, 227, 328, 333, 334, 374, 377, 413, 414, 463, 569, 576, 630, 644, 662, 695, 708, 709, 726, 734, 785, 837, 901, 908, 909, 917, 918, 919, 925, 937, 942, 944, 996, 997, 1014, 1015, 1024, 1033, 1035, 1039, 1043, 1044, 1056, 1072, 1073, 1093, 1158, 1162, 1171, 1217, 1239, 1246, 1247, 1252, 1256, 1264, 1273, 1274]",34
200,125943365,"[4, 5, 6, 12, 13, 18, 71, 76, 79, 86, 88, 147, 148, 161, 182, 192, 193, 211, 212, 227, 269, 271, 328, 333, 334, 350, 353, 356, 374, 377, 409, 413, 416, 422, 430, 478, 485, 609, 630, 644, 695, 699, 708, 709, 718, 726, 734, 751, 834, 837, 901, 909, 912, 917, 918, 919, 925, 942, 944, 993, 994, 995, 996, 997, 1009, 1014, 1015, 1039, 1043, 1044, 1072, 1073, 1093, 1158, 1162, 1217, 1239, 1247, 1251, 1279]",29
240,137699055,"[12, 13, 18, 58, 71, 74, 76, 79, 147, 148, 155, 156, 161, 202, 211, 212, 227, 269, 313, 328, 333, 334, 353, 356, 374, 376, 377, 409, 413, 414, 416, 422, 463, 465, 485, 509, 510, 559, 569, 598, 599, 600, 630, 632, 644, 647, 662, 708, 710, 718, 726, 734, 837, 901, 908, 925, 937, 942, 944, 994, 996, 1014, 1024, 1043, 1044, 1052, 1072, 1073, 1093, 1158, 1162, 1171, 1217, 1228, 1243, 1246, 1247, 1252, 1256, 1264, 1273, 1274]",33
280,145348425,"[12, 13, 18, 58, 72, 76, 79, 117, 147, 148, 155, 156, 161, 202, 211, 212, 227, 259, 262, 269, 279, 313, 333, 334, 353, 354, 356, 374, 376, 377, 409, 414, 416, 422, 463, 465, 478, 485, 487, 509, 510, 513, 559, 560, 568, 569, 598, 609, 630, 632, 643, 662, 708, 710, 717, 726, 746, 768, 821, 837, 893, 901, 908, 925, 937, 942, 944, 994, 996, 1014, 1023, 1024, 1043, 1044, 1052, 1070, 1073, 1093, 1158, 1162, 1171, 1203, 1217, 1228, 1243, 1246, 1247, 1251, 1252, 1256, 1264, 1273, 1274]",33
320,155340210,"[12, 13, 18, 58, 72, 76, 79, 86, 88, 117, 147, 148, 155, 156, 161, 182, 202, 211, 212, 227, 259, 262, 269, 279, 313, 333, 334, 353, 354, 356, 374, 376, 377, 409, 414, 416, 422, 430, 463, 465, 478, 485, 487, 509, 513, 559, 560, 568, 569, 598, 609, 630, 632, 643, 656, 662, 694, 708, 709, 710, 717, 726, 768, 837, 893, 901, 908, 912, 925, 937, 942, 944, 994, 995, 996, 1014, 1023, 1024, 1026, 1043, 1044, 1052, 1056, 1070, 1072, 1073, 1078, 1090, 1093, 1127, 1158, 1162, 1171, 1217, 1228, 1243, 1246, 1247, 1252, 1256, 1264, 1273, 1274]",33
360,159460225,"[12, 13, 18, 58, 72, 74, 76, 79, 86, 88, 112, 117, 147, 148, 155, 156, 161, 182, 192, 193, 202, 211, 212, 222, 227, 259, 262, 269, 279, 313, 328, 333, 334, 353, 354, 356, 367, 374, 376, 377, 409, 414, 416, 422, 463, 465, 478, 485, 509, 510, 513, 559, 560, 568, 569, 598, 599, 600, 609, 630, 632, 643, 656, 662, 694, 708, 709, 710, 717, 726, 754, 768, 821, 837, 893, 894, 901, 908, 925, 937, 944, 953, 986, 994, 996, 1014, 1023, 1024, 1043, 1044, 1052, 1056, 1061, 1070, 1072, 1073, 1090, 1093, 1141, 1158, 1162, 1171, 1215, 1217, 1226, 1228, 1243, 1246, 1247, 1251, 1252, 1256, 1264, 1273, 1274, 1285, 1287]",33
400,164538915,"[12, 13, 18, 58, 72, 74, 76, 79, 86, 88, 112, 117, 147, 148, 155, 156, 161, 182, 192, 193, 202, 211, 212, 222, 227, 269, 279, 283, 313, 328, 333, 334, 353, 354, 356, 367, 374, 376, 377, 409, 413, 414, 416, 422, 430, 463, 465, 478, 485, 513, 559, 568, 569, 598, 599, 600, 620, 630, 632, 644, 656, 662, 684, 694, 695, 708, 709, 710, 717, 726, 734, 736, 768, 837, 893, 901, 909, 925, 937, 944, 953, 976, 977, 986, 994, 995, 996, 997, 1014, 1023, 1024, 1026, 1033, 1034, 1039, 1043, 1044, 1052, 1070, 1072, 1073, 1078, 1090, 1093, 1127, 1141, 1158, 1162, 1171, 1215, 1217, 1226, 1228, 1243, 1246, 1247, 1252, 1256, 1264, 1273, 1274, 1287]",33
440,172970435,"[18, 58, 74, 76, 79, 86, 88, 147, 148, 149, 155, 156, 161, 163, 182, 202, 211, 212, 227, 231, 259, 279, 296, 320, 328, 333, 334, 350, 351, 353, 360, 374, 376, 377, 409, 414, 416, 422, 463, 464, 489, 490, 509, 510, 513, 568, 569, 572, 576, 586, 587, 598, 599, 600, 615, 617, 630, 631, 639, 644, 656, 684, 685, 691, 695, 699, 708, 710, 717, 718, 726, 734, 735, 736, 738, 743, 768, 780, 821, 834, 837, 901, 908, 909, 912, 925, 933, 937, 942, 944, 967, 993, 994, 995, 996, 997, 1000, 1009, 1014, 1015, 1017, 1024, 1033, 1034, 1043, 1044, 1052, 1070, 1073, 1089, 1093, 1126, 1134, 1156, 1158, 1162, 1164, 1171, 1181, 1202, 1212, 1217, 1228, 1239, 1243, 1246, 1247, 1251, 1252, 1264, 1273, 1274, 1285]",26
480,182449745,"[12, 13, 18, 58, 72, 74, 76, 79, 86, 88, 112, 113, 115, 116, 117, 141, 147, 148, 155, 156, 161, 182, 192, 193, 202, 211, 212, 222, 227, 262, 269, 279, 283, 313, 328, 333, 334, 353, 354, 356, 367, 374, 376, 377, 409, 413, 414, 416, 422, 430, 463, 465, 478, 485, 513, 559, 564, 568, 569, 598, 599, 600, 620, 630, 632, 644, 656, 662, 677, 684, 685, 694, 695, 708, 709, 710, 717, 726, 734, 736, 754, 768, 780, 837, 893, 894, 901, 909, 912, 925, 937, 942, 944, 953, 967, 976, 977, 986, 993, 994, 995, 996, 997, 1000, 1014, 1023, 1024, 1026, 1034, 1039, 1043, 1044, 1052, 1061, 1070, 1072, 1073, 1078, 1090, 1093, 1127, 1141, 1158, 1162, 1164, 1171, 1215, 1217, 1226, 1228, 1243, 1246, 1247, 1251, 1252, 1256, 1264, 1273, 1274, 1287]",33
